2026-04-28 21:52:38,994 | INFO | aiogram.event | Update id=690979349 is handled. Duration 215 ms by bot id=8642357165
2026-04-28 21:58:00,866 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 21:58:01,923 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 21:58:01,924 | INFO | aiogram.dispatcher | Start polling
2026-04-28 21:58:02,089 | INFO | aiogram.dispatcher | Run polling for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 21:58:10,355 | INFO | aiogram.event | Update id=690979350 is handled. Duration 3797 ms by bot id=8642357165
2026-04-28 21:58:14,422 | INFO | aiogram.event | Update id=690979351 is handled. Duration 195 ms by bot id=8642357165
2026-04-28 22:24:09,862 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 22:24:10,798 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 22:24:10,799 | INFO | aiogram.dispatcher | Start polling
2026-04-28 22:24:10,963 | INFO | aiogram.dispatcher | Run polling for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 22:24:12,748 | INFO | aiogram.event | Update id=690979352 is handled. Duration 1167 ms by bot id=8642357165
2026-04-28 22:29:35,423 | INFO | aiogram.event | Update id=690979353 is handled. Duration 192 ms by bot id=8642357165
2026-04-28 22:29:42,029 | INFO | aiogram.event | Update id=690979354 is handled. Duration 189 ms by bot id=8642357165
2026-04-28 22:29:46,338 | INFO | aiogram.event | Update id=690979355 is handled. Duration 195 ms by bot id=8642357165
2026-04-28 22:29:52,190 | INFO | aiogram.event | Update id=690979356 is handled. Duration 187 ms by bot id=8642357165
2026-04-28 22:29:55,515 | INFO | aiogram.event | Update id=690979357 is handled. Duration 811 ms by bot id=8642357165
2026-04-28 22:30:06,385 | INFO | aiogram.event | Update id=690979358 is handled. Duration 202 ms by bot id=8642357165
2026-04-28 22:30:17,724 | INFO | aiogram.event | Update id=690979359 is handled. Duration 220 ms by bot id=8642357165
2026-04-28 22:30:19,498 | INFO | aiogram.event | Update id=690979360 is handled. Duration 571 ms by bot id=8642357165
2026-04-28 22:30:22,152 | INFO | aiogram.event | Update id=690979361 is handled. Duration 213 ms by bot id=8642357165
2026-04-28 22:30:30,231 | INFO | aiogram.event | Update id=690979362 is handled. Duration 182 ms by bot id=8642357165
2026-04-28 22:30:32,425 | INFO | aiogram.event | Update id=690979363 is handled. Duration 578 ms by bot id=8642357165
2026-04-28 22:30:35,500 | INFO | aiogram.event | Update id=690979364 is handled. Duration 590 ms by bot id=8642357165
2026-04-28 22:30:39,550 | INFO | aiogram.event | Update id=690979365 is handled. Duration 197 ms by bot id=8642357165
2026-04-28 22:30:42,522 | INFO | aiogram.event | Update id=690979366 is handled. Duration 565 ms by bot id=8642357165
2026-04-28 22:30:46,070 | INFO | aiogram.event | Update id=690979367 is handled. Duration 196 ms by bot id=8642357165
2026-04-28 22:30:51,789 | INFO | aiogram.event | Update id=690979368 is handled. Duration 196 ms by bot id=8642357165
2026-04-28 22:30:53,796 | INFO | aiogram.event | Update id=690979369 is handled. Duration 579 ms by bot id=8642357165
2026-04-28 22:30:56,202 | INFO | aiogram.event | Update id=690979370 is handled. Duration 197 ms by bot id=8642357165
2026-04-28 22:31:07,043 | INFO | aiogram.event | Update id=690979371 is handled. Duration 190 ms by bot id=8642357165
2026-04-28 22:31:08,935 | INFO | aiogram.event | Update id=690979372 is handled. Duration 590 ms by bot id=8642357165
2026-04-28 22:31:12,035 | INFO | aiogram.event | Update id=690979373 is handled. Duration 233 ms by bot id=8642357165
2026-04-28 22:31:18,564 | INFO | aiogram.event | Update id=690979374 is handled. Duration 212 ms by bot id=8642357165
2026-04-28 22:31:21,162 | INFO | aiogram.event | Update id=690979375 is handled. Duration 972 ms by bot id=8642357165
2026-04-28 22:31:31,191 | INFO | aiogram.event | Update id=690979376 is handled. Duration 192 ms by bot id=8642357165
2026-04-28 22:31:42,120 | INFO | aiogram.event | Update id=690979377 is handled. Duration 202 ms by bot id=8642357165
2026-04-28 22:31:44,367 | INFO | aiogram.event | Update id=690979378 is handled. Duration 586 ms by bot id=8642357165
2026-04-28 22:31:46,920 | INFO | aiogram.event | Update id=690979379 is handled. Duration 212 ms by bot id=8642357165
2026-04-28 22:31:56,980 | INFO | aiogram.event | Update id=690979380 is handled. Duration 188 ms by bot id=8642357165
2026-04-28 22:32:00,737 | INFO | aiogram.event | Update id=690979381 is handled. Duration 532 ms by bot id=8642357165
2026-04-28 22:32:04,489 | INFO | aiogram.event | Update id=690979382 is handled. Duration 1152 ms by bot id=8642357165
2026-04-28 22:32:17,207 | INFO | aiogram.event | Update id=690979383 is handled. Duration 197 ms by bot id=8642357165
2026-04-28 22:32:53,956 | INFO | aiogram.event | Update id=690979384 is not handled. Duration 10 ms by bot id=8642357165
2026-04-28 22:33:00,437 | INFO | aiogram.event | Update id=690979385 is handled. Duration 200 ms by bot id=8642357165
2026-04-28 22:33:19,806 | INFO | aiogram.event | Update id=690979386 is handled. Duration 2894 ms by bot id=8642357165
2026-04-28 22:33:28,762 | INFO | aiogram.event | Update id=690979387 is handled. Duration 7 ms by bot id=8642357165
2026-04-28 22:33:52,917 | INFO | aiogram.event | Update id=690979388 is handled. Duration 9 ms by bot id=8642357165
2026-04-28 22:37:52,469 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 22:37:53,642 | ERROR | asyncio | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0000027034E75FD0>
2026-04-28 22:41:36,736 | INFO | __main__ | Ma'lumotlar bazasi tayyor.
2026-04-28 22:41:37,720 | INFO | __main__ | Bot polling boshlandi...
2026-04-28 22:41:37,721 | INFO | aiogram.dispatcher | Start polling
2026-04-28 22:41:37,888 | INFO | aiogram.dispatcher | Run polling for bot @TozaHudud_sambot id=8642357165 - 'Toza hudud rasmlar'
2026-04-28 22:41:38,879 | INFO | aiogram.event | Update id=690979389 is handled. Duration 805 ms by bot id=8642357165
2026-04-28 22:41:38,997 | INFO | aiogram.event | Update id=690979390 is handled. Duration 922 ms by bot id=8642357165
2026-04-28 22:42:02,480 | INFO | aiogram.event | Update id=690979391 is handled. Duration 226 ms by bot id=8642357165
2026-04-28 22:42:21,272 | INFO | aiogram.event | Update id=690979392 is handled. Duration 7724 ms by bot id=8642357165
2026-04-28 22:42:27,617 | INFO | aiogram.event | Update id=690979393 is handled. Duration 11 ms by bot id=8642357165
